PlaceName,Administration Type,State Name,State Codename,Population,Town Class
Almora,UA,UTTARANCHAL,UTT,32358,III
Badrinathpuri,NP,UTTARANCHAL,UTT,1682,VI
Bageshwar,MB,UTTARANCHAL,UTT,7803,V
Banbasa,CT,UTTARANCHAL,UTT,8179,V
Bandia,CT,UTTARANCHAL,UTT,8896,V
Barkot,NP,UTTARANCHAL,UTT,6095,V
Bazpur,MB,UTTARANCHAL,UTT,21792,III
Bhimtal,NP,UTTARANCHAL,UTT,5874,V
Bhowali,MB,UTTARANCHAL,UTT,5512,V
Chakrata,CB,UTTARANCHAL,UTT,3496,VI
Chamba,NP,UTTARANCHAL,UTT,6580,V
Chamoli Gopeshwar,MB,UTTARANCHAL,UTT,19833,IV
Champawat,NP,UTTARANCHAL,UTT,3959,VI
Dehradun,UA,UTTARANCHAL,UTT,530263,I
Devaprayag,NP,UTTARANCHAL,UTT,2769,VI
Dhaluwala,CT,UTTARANCHAL,UTT,11444,IV
Dhandera,CT,UTTARANCHAL,UTT,15288,IV
Dharchula,NP,UTTARANCHAL,UTT,6324,V
Dharchula Dehat,CT,UTTARANCHAL,UTT,3739,VI
Didihat,NP,UTTARANCHAL,UTT,4806,VI
Dineshpur,NP,UTTARANCHAL,UTT,8856,V
Dogadda,MB,UTTARANCHAL,UTT,2998,VI
Doiwala,NP,UTTARANCHAL,UTT,8043,V
Dwarahat,NP,UTTARANCHAL,UTT,3092,VI
Gadarpur,MB,UTTARANCHAL,UTT,13645,IV
Gangotri,NP,UTTARANCHAL,UTT,605,VI
Gochar,NP,UTTARANCHAL,UTT,7303,V
Haldwani cum Kathgodam,UA,UTTARANCHAL,UTT,158896,I
Hardwar,UA,UTTARANCHAL,UTT,220767,I
Herbertpur,NP,UTTARANCHAL,UTT,9243,V
Jaspur,MB,UTTARANCHAL,UTT,38937,III
Jhabrera,NP,UTTARANCHAL,UTT,9384,V
Joshimath,MB,UTTARANCHAL,UTT,13204,IV
Kachnal Gosain,CT,UTTARANCHAL,UTT,4200,VI
Kaladhungi,NP,UTTARANCHAL,UTT,6128,V
Karnaprayag,NP,UTTARANCHAL,UTT,6977,V
Kashipur,MB,UTTARANCHAL,UTT,92967,II
Kashirampur,CT,UTTARANCHAL,UTT,9033,V
Kedarnath,NP,UTTARANCHAL,UTT,482,VI
Kela Khera,NP,UTTARANCHAL,UTT,7782,V
Khatima,MB,UTTARANCHAL,UTT,14335,IV
Kichha,MB,UTTARANCHAL,UTT,30503,III
Kirtinagar,NP,UTTARANCHAL,UTT,1040,VI
Kotdwara,MB,UTTARANCHAL,UTT,24947,III
Laksar,NP,UTTARANCHAL,UTT,18242,IV
Lalkuan,NP,UTTARANCHAL,UTT,6524,V
Landhaura,NP,UTTARANCHAL,UTT,16036,IV
Lansdowne,CB,UTTARANCHAL,UTT,7902,V
Lohaghat,NP,UTTARANCHAL,UTT,5829,V
Mahua Dabra Haripura,NP,UTTARANCHAL,UTT,6103,V
Mahua Kheraganj,NP,UTTARANCHAL,UTT,8858,V
Manglaur,MB,UTTARANCHAL,UTT,42584,III
Mohanpur Mohammadpur,CT,UTTARANCHAL,UTT,8696,V
Muni Ki Reti,NP,UTTARANCHAL,UTT,7880,V
Mussoorie,UA,UTTARANCHAL,UTT,29329,III
Nagla,CT,UTTARANCHAL,UTT,22947,III
Naintal,UA,UTTARANCHAL,UTT,39911,III
Nandprayag,NP,UTTARANCHAL,UTT,1704,VI
Narendranagar,MB,UTTARANCHAL,UTT,5304,V
Pauri,MB,UTTARANCHAL,UTT,24743,III
Pithoragarh,MB,UTTARANCHAL,UTT,44964,III
Pratitnagar,CT,UTTARANCHAL,UTT,7077,V
Ramnagar,MB,UTTARANCHAL,UTT,46205,III
Ranikhet,CB,UTTARANCHAL,UTT,19055,IV
Rishikesh,UA,UTTARANCHAL,UTT,78805,II
Roorkee,UA,UTTARANCHAL,UTT,115278,I
Rudraprayag,NP,UTTARANCHAL,UTT,2250,VI
Rudrapur,MB,UTTARANCHAL,UTT,88676,II
Shaktigarh,NP,UTTARANCHAL,UTT,4776,VI
Sitarganj,MB,UTTARANCHAL,UTT,22027,III
Srinagar,MB,UTTARANCHAL,UTT,19658,IV
Sultanpur,NP,UTTARANCHAL,UTT,7714,V
Tanakpur,MB,UTTARANCHAL,UTT,15811,IV
Tehri,MB,UTTARANCHAL,UTT,25423,III
Uttarkashi,MB,UTTARANCHAL,UTT,16218,IV
Vikasnagar,MB,UTTARANCHAL,UTT,12486,IV
Chandigarh,M Corp.,CHANDIGARH,CHD,808515,I
1 SGM,CT,RAJASTHSAN,RAJ,3520,VI
3STR,CT,RAJASTHSAN,RAJ,10925,IV
Abu Road,UA,RAJASTHSAN,RAJ,47640,III
Ajmer,UA,RAJASTHSAN,RAJ,490520,I
Aklera,M,RAJASTHSAN,RAJ,18172,IV
Alwar,UA,RAJASTHSAN,RAJ,266203,I
Amet,M,RAJASTHSAN,RAJ,16672,IV
Antah,M,RAJASTHSAN,RAJ,26784,III
Anupgarh,M,RAJASTHSAN,RAJ,29565,III
Asind,M,RAJASTHSAN,RAJ,14123,IV
Baggar,M,RAJASTHSAN,RAJ,14658,IV
Bagru,M,RAJASTHSAN,RAJ,22092,III
Bakani,CT,RAJASTHSAN,RAJ,7938,V
Bali,M,RAJASTHSAN,RAJ,18201,IV
Balotra,M,RAJASTHSAN,RAJ,61813,II
Banasthali,CT,RAJASTHSAN,RAJ,6677,V
Bandikui,M,RAJASTHSAN,RAJ,16295,IV
Banswara,UA,RAJASTHSAN,RAJ,87308,II
Baran,M,RAJASTHSAN,RAJ,78665,II
Bari,M,RAJASTHSAN,RAJ,50474,II
Bari Sadri,M,RAJASTHSAN,RAJ,15004,IV
Barmer,M,RAJASTHSAN,RAJ,83591,II
Basni Belima,CT,RAJASTHSAN,RAJ,21558,III
Bayana,M,RAJASTHSAN,RAJ,33716,III
Beawar,UA,RAJASTHSAN,RAJ,125981,I
Beejoliya Kalan,CT,RAJASTHSAN,RAJ,12389,IV
Begun,M,RAJASTHSAN,RAJ,19335,IV
Behror,M,RAJASTHSAN,RAJ,22856,III
Bhadra,M,RAJASTHSAN,RAJ,35141,III
Bhalariya,CT,RAJASTHSAN,RAJ,6530,V
Bharatpur,UA,RAJASTHSAN,RAJ,205235,I
Bhawani andi,M,RAJASTHSAN,RAJ,35695,III
Bhilwara,MCI,RAJASTHSAN,RAJ,280128,I
Bhinder,M,RAJASTHSAN,RAJ,16368,IV
Bhinmal,M,RAJASTHSAN,RAJ,39280,III
Bhiwadi,CT,RAJASTHSAN,RAJ,33877,III
Bhusawar,M,RAJASTHSAN,RAJ,17723,IV
Bidasar,M,RAJASTHSAN,RAJ,30107,III
